No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
3,27-461,"Joystick (53)
J: Brian Hayes
T: W P Mullins","7-y-o
11st 7lb",155Spotlight,"80/1
100/1
125/1",100/1,SP
11,0-4551,"Rushmount (81)
J: Sean O'keeffe
T: Jonathan Sweeney","9-y-o
11st 7lb",154Spotlight,"80/1
100/1
125/1",150/1,SP
,,,,,,,
No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
3,/42-11,"Storm Heart (25)
J: Danny Mullins
T: W P Mullins","6-y-o
11st 10lb",157Spotlight,"5/1
9/2
5/1",9/2,SP
10,"11U-72
D","Jingko Blue (69)
J: James Bowen
T: N J Henderson","7-y-o
11st 4lb",155Spotlight,"11/2
6/1
11/2",6/1,SP
8,"3-6026
C","Puturhandstogether (101)
J: J J Slevin
T: J P O'brien","5-y-o
11st 6lb",149Spotlight,"17/2
8/1
17/2",8/1,SP
1,12-F25,"The Yellow Clay (73)
J: Michael Kenneally
T: G Elliott","7-y-o
12st 1lb",162Spotlight,"9/1
17/2
9/1",17/2,SP
11,"0-0991
C,D","Iberico Lord (60)
J: N De Boinville
T: N J Henderson","8-y-o
11st 4lb",159Spotlight,"10/1
9/1
17/2",9/1,SP
14,"-14389
D","Kateira (25)
J: Harry Skelton
T: D Skelton","9-y-o
11st",159Spotlight,"10/1
9/1
17/2",9/1,SP
23,224-73,"Forty Coats (52)
J: Darragh O'keeffe
T: H De Bromhead","7-y-o
10st 11lb",161Spotlight,"14/1
12/1
11/1",10/1,SP
9,/102-F,"Kopeck De Mee (95)
J: Mark Walsh
T: W P Mullins","6-y-o
11st 5lb",154Spotlight,"10/1
11/1
10/1",11/1,SP
21,P60-49,"Bunting (38)
J: H Cobden
T: W P Mullins","6-y-o
10st 12lb",154Spotlight,"16/1
14/1
16/1",14/1,SP
4,"74-323
C,D","Lucky Place (69)
J: B S Hughes
T: N J Henderson","7-y-o
11st 10lb",158Spotlight,"22/1
25/1
20/1",22/1,SP
