Watch race,,,,,,,
Extra PlacesBet In-Running,,,,,,,
Verdict,,,,,,,
"Lightning may well strike twice as REGENT'S STROLL (nap) seems destined to emulate his connections' Caldwell Potter who won this contest last year having taken a very similar path. Their twin-like resemblance, in terms of career journey, is uncanny. Slade Steel, who holds solid claims in his bid to add a Jack Richards to his Supreme win, is second pick ahead of Jordans Cross who gained his latest success in a C&D race of high…WWWLightning may well strike twice as REGENT'S STROLL (nap) seems destined to emulate his connections' Caldwell Potter who won this contest last year having taken a very similar path. Their twin-like resemblance, in terms of career journey, is uncanny. Slade Steel, who holds solid claims in his bid to add a Jack Richards to his Supreme win, is second pick ahead of Jordans Cross who gained his latest success in a C&D race of high si…",,,,,,,
Show More,,,,,,,
Best Odds Guaranteed,,,,,,,
Available! Learn how to opt in here.,,,,,,,
Paying 5 Places Instead of 4 at 1/4 odds,,,,,,,
Bambino Fever To Finish In The First Two - Was 1/2,,,,,,,
EVS,,,,,,,
Racecard,,,,,,,
Each Way Extra,,,,,,,
New,,,,,,,
Price Boost,,,,,,,
Lengthen Your Odds,,,,,,,
Place Markets,,,,,,,
Money Back,,,,,,,
Match Bets,,,,,,,
Betting Without,,,,,,,
Odds v Evens,,,,,,,
Show overview for all runners,,,,,,,
EW: 1/4 Odds 5 Places,,,,,,,
No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
10,"2-1F11
CD","Jordans Cross (47)
J: Sam Twiston-Davies
T: A J Honeyball","6-y-o
11st",155Spotlight,"4/1
7/2
4/1",7/2,SP
4,"12-312
D","Regent's Stroll (70)
J: H Cobden
T: P F Nicholls","7-y-o
11st 6lb",155Spotlight,"11/2
6/1
11/2",6/1,SP
3,"22-2B2
C,D","Slade Steel (54)
J: Darragh O'keeffe
T: H De Bromhead","8-y-o
11st 6lb",157Spotlight,"13/2
7/1
13/2",7/1,SP
11,13-116,"Meetmebythesea (33)
J: Ben Jones
T: B Pauling","6-y-o
10st 13lb",154Spotlight,"13/2
7/1
13/2",7/1,SP
13,20-521,"Stencil (44)
J: J J Burke
T: N George & A Zetterholm","5-y-o
10st 11lb",156Spotlight,"10/1
9/1
17/2",8/1,SP
7,"06-232
D","Wingmen (70)
J: Jack Kennedy
T: G Elliott","8-y-o
11st 3lb",157Spotlight,"11/1
12/1
11/1",10/1,SP
8,71-322,"Kiss Will (25)
J: J J Slevin
T: W P Mullins","6-y-o
11st 1lb",156Spotlight,"11/1
10/1
9/1",10/1,SP
16,"13-121
D","The Bluesman (26)
J: S Bowen
T: O Murphy","7-y-o
10st 9lb",159Spotlight,"9/1
10/1
11/1",10/1,SP
18,"-F1243
C,D","Kdeux Saint Fray (19)
J: Rex Dingle
T: A J Honeyball","6-y-o
10st 7lb",157Spotlight,"20/1
18/1
14/1",16/1,SP
14,"8-4112
D","Western Knight (26)
J: Brendan Powell
T: J Tizzard","7-y-o
10st 10lb",158Spotlight,"33/1
28/1
25/1",22/1,SP
6,"03-231
D","King Alexander (26)
J: Danny Mullins
T: W P Mullins","8-y-o
11st 5lb",152Spotlight,"25/1
28/1
25/1",22/1,SP
20,8-512U,"Ben Solo (75)
J: B S Hughes
T: Miss R Curtis","7-y-o
10st 7lb",155Spotlight,"33/1
28/1
25/1",28/1,SP
1,"111224
D","Gold Dancer (32)
J: Anna Mcguinness
T: W P Mullins","7-y-o
11st 12lb",159Spotlight,"40/1
50/1
40/1",33/1,SP
5,"45-115
D","Ol Man Dingle (102)
J: Ricky Doyle
T: E Griffin","7-y-o
11st 6lb",152Spotlight,"40/1
33/1
28/1",33/1,SP
17,"U47F06
D","Where's My Jet (39)
J: Sean O'keeffe
T: W P Mullins","7-y-o
10st 8lb",153Spotlight,"50/1
40/1
33/1",40/1,SP
9,"2P-126
D","Moon Rocket (53)
J: Thomas Bellamy
T: K Bailey & M Nicholls","6-y-o
11st",155Spotlight,"66/1
50/1
66/1",50/1,SP
19,29-833,"Dr Eggman (35)
J: John Shinnick
T: W P Mullins","8-y-o
10st 7lb",153Spotlight,"50/1
66/1
80/1",66/1,SP
12,"8-15U5
C,D","Intense Approach (12)
J: Alex Harvey
T: J C Mcconnell","7-y-o
10st 11lb",154Spotlight,"100/1
80/1
100/1",80/1,SP
Non-runners,,,,,,,
15,"2-31F3
D","Old Cowboy - N/R (19)
J: Non Runner
T: G & J Moore","6-y-o
10st 9lb",157Spotlight,50/1,66/1,SP
Rule 4 deductions Win,,,,,,,
Please note the early price bets struck prior to 09:18:21 will be subject to a 20p Rule 4 deduction.,,,,,,,
"16 or more must run for 5 places 1/4 to be paid. 12 or more must run for 4 places 1/4 to be paid. In the event of 11 runners or less, standard EW terms will apply.",,,,,,,
14:40 Cheltenham (2m 4f 56y)7 RunnersGoing: Good,,,,,,,
Close Brothers Mares' Hurdle (Registered As The David Nicholson Mares' Hurdle) (Grade 1) (Gbb Race) 1,,,,,,,
"Jumps,",,,,,,,
Watch race,,,,,,,
Bet In-Running,,,,,,,
Verdict,,,,,,,
"Last year's runner-up Jade De Grugy should go well in her bid to provide Willie Mullins with a 12th win in this race but preference is for WODHOOH, whose only defeat in ten hurdle starts came at the hands of Lossiemouth in last year's Aintree Hurdle. Gordon Elliott's mare looked as good as ever when giving weight and a beating to Feet Of A Dancer and Dream On Baby at Leopardstown over Christmas and she can win…WWWLast year's runner-up Jade De Grugy should go well in her bid to provide Willie Mullins with a 12th win in this race but preference is for WODHOOH, whose only defeat in ten hurdle starts came at the hands of Lossiemouth in last year's Aintree Hurdle. Gordon Elliott's mare looked as good as ever when giving weight and a beating to Feet Of A Dancer and Dream On Baby at Leopardstown over Christmas and she can win o…",,,,,,,
Show More,,,,,,,
Best Odds Guaranteed,,,,,,,
Available! Learn how to opt in here.,,,,,,,
Bambino Fever To Finish In The First Two - Was 1/2,,,,,,,
EVS,,,,,,,
Racecard,,,,,,,
