13,"31P-0P
CD","Daily Present (38)
J: Mr B T Stone
T: P Nolan","9-y-o
11st 6lb",149Spotlight,"18/1
20/1
18/1",16/1,SP
2,P6-P57,"Monbeg Genius (26)
J: Mr J L Scallan
T: J & A O'neill","10-y-o
11st 10lb",152Spotlight,"25/1
22/1
20/1",18/1,SP
9,"1P-041
D","King's Threshold (73)
J: Mr H C Swan
T: Miss E C Lavelle","9-y-o
11st 6lb",151Spotlight,"28/1
25/1
22/1",20/1,SP
3,6-3143,"The Enabler (46)
J: Mr R James
T: G Elliott","7-y-o
11st 9lb",148Spotlight,"18/1
20/1
18/1",20/1,SP
10,"44-420
C","Weveallbeencaught (75)
J: Mr J C Barry
T: E Mcnamara","9-y-o
11st 6lb",146Spotlight,"20/1
18/1
20/1",22/1,SP
22,"511-15
C","Ask Brewster (96)
J: Mr S Cotter
T: Mrs C Williams","7-y-o
10st 11lb",143Spotlight,"25/1
28/1
33/1",28/1,SP
6,"7-2872
C","Il Ridoto (70)
J: Miss O Nicholls
T: P F Nicholls","9-y-o
11st 7lb",151Spotlight,"40/1
33/1
28/1",33/1,SP
23,"4812P0
C","Hung Jury (26)
J: Mr James King
T: M Keighley","11-y-o
10st 10lb",153Spotlight,"50/1
66/1
50/1",40/1,SP
24,"062412
C,D","Lord Accord (110)
J: Mr N Mcparlan
T: N P Mulholland","11-y-o
10st 10lb",150Spotlight,"50/1
40/1
33/1",40/1,SP
4,188-38,"Insurrection (40)
J: Miss Gina Andrews
T: P F Nicholls","9-y-o
11st 7lb",151Spotlight,"50/1
66/1
80/1",66/1,SP
15,40-30F,"Excello (70)
J: Mr Henry Main
T: N J Henderson","7-y-o
11st 1lb",152Spotlight,"50/1
66/1
80/1",66/1,SP
21,-22U04,"No Time To Wait (19)
J: Mr J M Halford
T: J C Mcconnell","8-y-o
10st 12lb",147Spotlight,"100/1
80/1
100/1",80/1,SP
16,"0341PP
C","Glengouly (12)
J: Mr D Mcgill
T: Faye Bramley","10-y-o
11st",149Spotlight,"50/1
66/1
80/1",100/1,SP
14,7P-P6P,"Olympic Man (74)
J: Mr D Doyle
T: J C Mcconnell","9-y-o
11st 6lb",143Spotlight,"50/1
66/1
80/1",100/1,SP
18,4-7208,"Cave Court (26)
J: Mr O Mcgill
T: N C Kelly","9-y-o
11st",143Spotlight,"150/1
125/1
100/1",125/1,SP
Non-runners,,,,,,,
25,U17-22,"J'arrive De L'est - N/R (47)
J: Reserve 1
T: E Mullins","7-y-o
10st 9lb",150Spotlight,"9/1
10/1
8/1",15/2,SP
26,683325,"Hunter Legend - N/R (26)
J: Reserve 2
T: Miss V Williams","9-y-o
10st 9lb",152Spotlight,"40/1
33/1
40/1",50/1,SP
12,59-1F7,"Uncle Bert - N/R (47)
J: Miss Amber Jackson-Fennell
T: N & W Twiston-Davies","9-y-o
11st 6lb",152Spotlight,"50/1
66/1
50/1",66/1,SP
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Horse,Previous Form,Age,Price,Trainer,Jockey,
,Bambino Fever,11,5,4/1,Willie Mullins,J. Townend,
,Jasmin De Vaux,1,5,9-2,Willie Mullins,Patrick Mullins,
,A Dream To Share,111,5,7-2,John E Kiely,Mr J L Gleeson,
,Facile Vega,11,5,15-8F,Willie Mullins,Patrick Mullins,
,Sir Gerhard,1-11,6,85-40,Willie Mullins,Rachael Blackmore,
,Ferny Hollow,221,5,11-1,Willie Mullins,Paul Townend,
,Envoi Allen,111,5,2-1F,Gordon Elliott,Jamie Codd,
,Relegate,11,5,25-1,Willie Mullins,Katie Walsh,
,Fayonagh,811,6,7-1,Gordon Elliott,Jamie Codd,
,Ballyandy,1121,5,5-1,Nigel Twiston-Davies,Sam Twiston-Davies,
,Moon Racer,1-1,6,9-2F,David Pipe,Tom Scudamore,
