Year,Date,Time,Race Name,Generic Race Type,Course,Position,Draw,Horse Name,SP (Decimal),Jockey,Trainer
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,1,26,Like-A-Butterfly (IRE),2.75,Charlie Swan,C Roche
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,3,11,In Contrast (IRE),1.06,Richard Johnson,Philip Hobbs
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,4,6,Eternal Spring (IRE),1.08,D Gallagher,James Fanshawe
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,6,14,Native Scout (IRE),1.07,Norman Williamson,Donal Hassett
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,7,17,Scottish Memories (IRE),51,Paul Carberry,Noel Meade
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,8,21,Stars Out Tonight (IRE),34,Jim Culloty,Henrietta C Knight
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,10,9,Got One Too (FR),1.06,Mick Fitzgerald,Nicky Henderson
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,12,19,Soltero (IRE),41,Barry Geraghty,Mrs John Harrington
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,13,12,Jaybejay (NZ),51,Tom Scudamore,M C Pipe
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,14,27,Detonateur (FR),201,David Dennis,Ian Williams
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,15,5,Dungarvans Choice (IRE),1.04,J R Kavanagh,Nicky Henderson
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,16,10,Hitman (IRE),1.05,Barry Fenton,Mark Pitman
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,17,15,Never (FR),34,T Doumen,F Doumen
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,18,13,Mutakarrim,1.04,D J Casey,D K Weld
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,19,18,Snob Wells (IRE),101,Carl Llewellyn,Noel Meade
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,20,20,Sossus Vlei,51,Leighton Aspell,Peter Winkworth
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,21,8,Forto (GER),151,Robert Thornton,Dai Williams
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,22,7,Fireball Macnamara (IRE),101,Timmy Murphy,Mark Pitman
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,F,3,Bernardon (GER),1.06,Richard Guest,M C Pipe
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,F,22,Three Lions,151,Barry Keniry,R S Brookhouse
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,F,1,Adamant Approach (IRE),1.08,R Walsh,W P Mullins
2002,Tue/12/Mar,02:00:00,Gerrard Supreme Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Supreme, 2m)",Cheltenham,F,25,Best Wait (IRE),101,Conor O'Dwyer,T Hogan
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,1,6,Moscow Flyer (IRE),1.18,Barry Geraghty,Mrs John Harrington
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,2,7,Seebald (GER),3.5,A P McCoy,M C Pipe
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,3,10,Armaturk (FR),1.13,Timmy Murphy,Paul Nicholls
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,4,8,Truckers Tavern (IRE),1.09,John McNamara,Ferdy Murphy
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,5,4,Fondmort (FR),1.25,Mick Fitzgerald,Nicky Henderson
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,6,1,Assessed (IRE),1.04,R Walsh,W P Mullins
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,7,2,Barton,1.22,Tony Dobbin,Tim Easterby
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,8,12,Kadarann (IRE),1.06,Joe Tizzard,Paul Nicholls
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,9,3,Ei Ei,101,W Worthington,Michael Chapman
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,10,9,Youlneverwalkalone (IRE),1.1,Conor O'Dwyer,C Roche
2002,Tue/12/Mar,02:35:00,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,"Novice Chase - Grade 1 (Arkle, 2m)",Cheltenham,F,11,Jardin De Beaulieu (FR),101,David Dennis,Ian Williams
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,1,4,Hors La Loi III (FR),1.1,D Gallagher,James Fanshawe
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,2,7,Marble Arch,1.04,R Walsh,Hughie Morrison
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,3,14,Bilboa (FR),1.07,T Doumen,F Doumen
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,5,6,Landing Light (IRE),4.33,Mick Fitzgerald,Nicky Henderson
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,6,1,Ansar (IRE),51,Paul Carberry,D K Weld
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,7,9,Mr Cool,101,Rodi Greene,M C Pipe
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,8,8,Mister Morose (IRE),101,Carl Llewellyn,Nigel Twiston-Davies
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,9,15,Liss A Paoraigh (IRE),1.05,Norman Williamson,John E Kiely
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,10,2,Chimes At Midnight (USA),151,Martin Mooney,Luke Comer
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,11,12,Rostropovich I (IRE),101,D J Casey,M F Morris
2002,Tue/12/Mar,03:15:00,Smurfit Champion Hurdle Challenge Trophy Showcase Race Class A Grade 1,Championship Hurdle - Grade 1 (Champion Hurdle),Cheltenham,12,11,Regal Exit (FR),67,J R Kavanagh,Nicky Henderson
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,1,17,Frenchman's Creek,1.13,Paul Carberry,Hughie Morrison
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,2,21,Carbury Cross (IRE),1.04,L Cooper,Jonjo O'Neill
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,3,3,Ad Hoc (IRE),1.14,R Walsh,Paul Nicholls
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,4,6,You're Agoodun,1.05,J R Kavanagh,M C Pipe
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,5,7,Royal Predica (FR),1.04,Rodi Greene,M C Pipe
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,6,10,Gunther McBride (IRE),5,Richard Johnson,Philip Hobbs
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,7,11,Bindaree (IRE),1.04,Carl Llewellyn,Nigel Twiston-Davies
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,8,15,Idole Des Fontaines (FR),41,J L Guillochon,C G Diard
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,9,19,Carryonharry (IRE),1.2,A P McCoy,M C Pipe
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,10,22,Bramblehill Duke (IRE),41,B J Crowley,Venetia Williams
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,11,20,Goguenard I (FR),34,Mick Fitzgerald,Nicky Henderson
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,12,12,Struggles Glory (IRE),34,Benjamin Hitchcott,D C Robinson
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,13,8,Robbo,1.04,Paddy Aspell,Mrs M Reveley
2002,Tue/12/Mar,03:55:00,William Hill National Hunt Handicap Chase Class A (Listed Race),Novice Handicap Chase,Cheltenham,F,14,Europa,1.06,Russ Garritty,Tom Tate
2002,Tue/12/Mar,04:30:00,Fulke Walwyn Kim Muir Challenge Cup Handicap Chase (Amateur Riders) Class B,Amateur Handicap Chase (Kim Muir),Cheltenham,1,4,The Bushkeeper (IRE),5.5,Dave Crosse,Nicky Henderson
2002,Tue/12/Mar,04:30:00,Fulke Walwyn Kim Muir Challenge Cup Handicap Chase (Amateur Riders) Class B,Amateur Handicap Chase (Kim Muir),Cheltenham,2,10,Ceanannas Mor (IRE),1.05,Mr R H Fowler,Nicky Henderson
2002,Tue/12/Mar,04:30:00,Fulke Walwyn Kim Muir Challenge Cup Handicap Chase (Amateur Riders) Class B,Amateur Handicap Chase (Kim Muir),Cheltenham,3,3,Cadougold (FR),1.04,Mr G Elliott,M C Pipe
2002,Tue/12/Mar,04:30:00,Fulke Walwyn Kim Muir Challenge Cup Handicap Chase (Amateur Riders) Class B,Amateur Handicap Chase (Kim Muir),Cheltenham,4,12,Phar From A Fiddle (IRE),1.06,Miss P Gundry,Paul Nicholls
2002,Tue/12/Mar,04:30:00,Fulke Walwyn Kim Muir Challenge Cup Handicap Chase (Amateur Riders) Class B,Amateur Handicap Chase (Kim Muir),Cheltenham,5,20,Gulshan,1.04,R Biddlecombe,Nigel Twiston-Davies
2002,Tue/12/Mar,04:30:00,Fulke Walwyn Kim Muir Challenge Cup Handicap Chase (Amateur Riders) Class B,Amateur Handicap Chase (Kim Muir),Cheltenham,6,2,Supreme Charm (IRE),1.07,Des Flavin,Kim Bailey
2002,Tue/12/Mar,04:30:00,Fulke Walwyn Kim Muir Challenge Cup Handicap Chase (Amateur Riders) Class B,Amateur Handicap Chase (Kim Muir),Cheltenham,7,7,Paddy's Return I (IRE),1.04,Alan O'Keeffe,Ferdy Murphy
2002,Tue/12/Mar,04:30:00,Fulke Walwyn Kim Muir Challenge Cup Handicap Chase (Amateur Riders) Class B,Amateur Handicap Chase (Kim Muir),Cheltenham,8,15,Northern Sound (IRE),34,Mr D,Roche Paul A Roche
2002,Tue/12/Mar,04:30:00,Fulke Walwyn Kim Muir Challenge Cup Handicap Chase (Amateur Riders) Class B,Amateur Handicap Chase (Kim Muir),Cheltenham,9,16,No Retreat (NZ),1.05,Mr David,Dunsdon Brian Baugh
2002,Tue/12/Mar,04:30:00,Fulke Walwyn Kim Muir Challenge Cup Handicap Chase (Amateur Riders) Class B,Amateur Handicap Chase (Kim Muir),Cheltenham,11,19,Bold King (FR),1.05,Mr P Cashman,Ian Williams
2002,Tue/12/Mar,04:30:00,Fulke Walwyn Kim Muir Challenge Cup Handicap Chase (Amateur Riders) Class B,Amateur Handicap Chase (Kim Muir),Cheltenham,12,9,Dulas Bay,1.06,Mark Nicolls,Mark Pitman
2002,Tue/12/Mar,04:30:00,Fulke Walwyn Kim Muir Challenge Cup Handicap Chase (Amateur Riders) Class B,Amateur Handicap Chase (Kim Muir),Cheltenham,13,8,Valigan (IRE),1.05,Paul Robson,L Lungo
2002,Tue/12/Mar,04:30:00,Fulke Walwyn Kim Muir Challenge Cup Handicap Chase (Amateur Riders) Class B,Amateur Handicap Chase (Kim Muir),Cheltenham,14,21,The Quads,34,Mr A Fitzgerald,Ferdy Murphy
2002,Tue/12/Mar,04:30:00,Fulke Walwyn Kim Muir Challenge Cup Handicap Chase (Amateur Riders) Class B,Amateur Handicap Chase (Kim Muir),Cheltenham,F,11,Corniche (IRE),41,Mr S Morris,Bernard Llewellyn
2002,Tue/12/Mar,04:30:00,Fulke Walwyn Kim Muir Challenge Cup Handicap Chase (Amateur Riders) Class B,Amateur Handicap Chase (Kim Muir),Cheltenham,F,23,No Discount (IRE),1.13,Mark Grant,T M Walsh
2002,Tue/12/Mar,04:30:00,Fulke Walwyn Kim Muir Challenge Cup Handicap Chase (Amateur Riders) Class B,Amateur Handicap Chase (Kim Muir),Cheltenham,F,13,Duchamp (USA),1.04,Mr P,J Colville I A Balding
2002,Tue/12/Mar,05:05:00,Pertemps Final (Handicap Hurdle) Class A (Listed Race),"Handicap Hurdle - Qualifier Final (Pertemps, 3m)",Cheltenham,1,6,Freetown I (IRE),1.05,Tony Dobbin,L Lungo
2002,Tue/12/Mar,05:05:00,Pertemps Final (Handicap Hurdle) Class A (Listed Race),"Handicap Hurdle - Qualifier Final (Pertemps, 3m)",Cheltenham,2,18,Surprising I,1.08,Richard Johnson,Philip Hobbs
2002,Tue/12/Mar,05:05:00,Pertemps Final (Handicap Hurdle) Class A (Listed Race),"Handicap Hurdle - Qualifier Final (Pertemps, 3m)",Cheltenham,4,11,Native Emperor,1.1,L Cooper,Jonjo O'Neill
2002,Tue/12/Mar,05:05:00,Pertemps Final (Handicap Hurdle) Class A (Listed Race),"Handicap Hurdle - Qualifier Final (Pertemps, 3m)",Cheltenham,5,23,Frogmarch (USA),51,Carl Llewellyn,K Bell
2002,Tue/12/Mar,05:05:00,Pertemps Final (Handicap Hurdle) Class A (Listed Race),"Handicap Hurdle - Qualifier Final (Pertemps, 3m)",Cheltenham,6,10,Ballysicyos (FR),1.04,Joffret Huet,M C Pipe
2002,Tue/12/Mar,05:05:00,Pertemps Final (Handicap Hurdle) Class A (Listed Race),"Handicap Hurdle - Qualifier Final (Pertemps, 3m)",Cheltenham,7,21,Native Estates (IRE),1.05,Paul Carberry,Noel Meade
2002,Tue/12/Mar,05:05:00,Pertemps Final (Handicap Hurdle) Class A (Listed Race),"Handicap Hurdle - Qualifier Final (Pertemps, 3m)",Cheltenham,8,3,Galant Moss (FR),1.04,D J Casey,M C Pipe
2002,Tue/12/Mar,05:05:00,Pertemps Final (Handicap Hurdle) Class A (Listed Race),"Handicap Hurdle - Qualifier Final (Pertemps, 3m)",Cheltenham,9,20,Oliver Cromwell (IRE),1.04,Marcus Foley,Peter Hedger
2002,Tue/12/Mar,05:05:00,Pertemps Final (Handicap Hurdle) Class A (Listed Race),"Handicap Hurdle - Qualifier Final (Pertemps, 3m)",Cheltenham,10,12,Ideal Du Bois Beury (FR),1.2,A P McCoy,M C Pipe
2002,Tue/12/Mar,05:05:00,Pertemps Final (Handicap Hurdle) Class A (Listed Race),"Handicap Hurdle - Qualifier Final (Pertemps, 3m)",Cheltenham,12,15,Forest Ivory (NZ),51,E Husband,Robert Wylie
2002,Tue/12/Mar,05:05:00,Pertemps Final (Handicap Hurdle) Class A (Listed Race),"Handicap Hurdle - Qualifier Final (Pertemps, 3m)",Cheltenham,13,17,Barney Knows (IRE),67,R Wakley,Ian Williams
2002,Tue/12/Mar,05:05:00,Pertemps Final (Handicap Hurdle) Class A (Listed Race),"Handicap Hurdle - Qualifier Final (Pertemps, 3m)",Cheltenham,14,7,Calladine (IRE),4.5,Charlie Swan,C Roche
2002,Tue/12/Mar,05:05:00,Pertemps Final (Handicap Hurdle) Class A (Listed Race),"Handicap Hurdle - Qualifier Final (Pertemps, 3m)",Cheltenham,15,16,Iris Royal (FR),1.11,Mick Fitzgerald,Nicky Henderson
2002,Tue/12/Mar,05:05:00,Pertemps Final (Handicap Hurdle) Class A (Listed Race),"Handicap Hurdle - Qualifier Final (Pertemps, 3m)",Cheltenham,16,22,Deferlant (FR),67,Warren Marston,Heather Dalton
2002,Tue/12/Mar,05:05:00,Pertemps Final (Handicap Hurdle) Class A (Listed Race),"Handicap Hurdle - Qualifier Final (Pertemps, 3m)",Cheltenham,17,4,Aspirant Dancer,34,Leighton Aspell,Lucy Wadham
2002,Tue/12/Mar,05:05:00,Pertemps Final (Handicap Hurdle) Class A (Listed Race),"Handicap Hurdle - Qualifier Final (Pertemps, 3m)",Cheltenham,18,1,HistoricI (IRE),34,Paddy Aspell,Tom George
2002,Tue/12/Mar,05:05:00,Pertemps Final (Handicap Hurdle) Class A (Listed Race),"Handicap Hurdle - Qualifier Final (Pertemps, 3m)",Cheltenham,20,8,Celtic Pride (IRE),1.1,Norman Williamson,Jonjo O'Neill
2002,Tue/12/Mar,05:05:00,Pertemps Final (Handicap Hurdle) Class A (Listed Race),"Handicap Hurdle - Qualifier Final (Pertemps, 3m)",Cheltenham,21,2,Majed (FR),1.07,Rodi Greene,M C Pipe
2002,Wed/13/Mar,02:00:00,Royal & SunAlliance Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",Cheltenham,1,9,Galileo (POL),1.08,Jason Maguire,Tom George
2002,Wed/13/Mar,02:00:00,Royal & SunAlliance Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",Cheltenham,2,18,Over The Bar I (IRE),1.07,Norman Williamson,E J O'Grady
2002,Wed/13/Mar,02:00:00,Royal & SunAlliance Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",Cheltenham,4,5,ClassifiedI (IRE),6,A P McCoy,M C Pipe
2002,Wed/13/Mar,02:00:00,Royal & SunAlliance Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",Cheltenham,5,2,Ballyamber (IRE),1.06,R Walsh,W P Mullins
2002,Wed/13/Mar,02:00:00,Royal & SunAlliance Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",Cheltenham,6,17,Moss Harvey,34,Graham Lee,Malcolm Jefferson
2002,Wed/13/Mar,02:00:00,Royal & SunAlliance Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",Cheltenham,7,25,Too Forward (IRE),34,D Gallagher,Mark Pitman
2002,Wed/13/Mar,02:00:00,Royal & SunAlliance Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",Cheltenham,8,26,Woodys Blue Lagoon (IRE),51,D J Casey,Noel Meade
2002,Wed/13/Mar,02:00:00,Royal & SunAlliance Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",Cheltenham,10,23,The Bajan Bandit (IRE),1.1,Tony Dobbin,L Lungo
2002,Wed/13/Mar,02:00:00,Royal & SunAlliance Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",Cheltenham,11,10,Inching Closer I,67,John McNamara,Ferdy Murphy
2002,Wed/13/Mar,02:00:00,Royal & SunAlliance Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",Cheltenham,12,22,Thari (USA),34,Paul Carberry,Noel Meade
2002,Wed/13/Mar,02:00:00,Royal & SunAlliance Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",Cheltenham,13,27,Yeoman's Point (IRE),1.08,Charlie Swan,C Roche
2002,Wed/13/Mar,02:00:00,Royal & SunAlliance Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",Cheltenham,14,24,The Villager (IRE),67,Carl Llewellyn,Nigel Twiston-Davies
2002,Wed/13/Mar,02:00:00,Royal & SunAlliance Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",Cheltenham,15,6,Direct Bearing (IRE),1.04,Conor O'Dwyer,D K Weld
2002,Wed/13/Mar,02:00:00,Royal & SunAlliance Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",Cheltenham,16,11,Irish Hussar (IRE),1.06,Mick Fitzgerald,Nicky Henderson
2002,Wed/13/Mar,02:00:00,Royal & SunAlliance Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",Cheltenham,17,20,Samon (GER),1.05,Richard Guest,M C Pipe
2002,Wed/13/Mar,02:00:00,Royal & SunAlliance Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",Cheltenham,18,28,Tucacas (FR),51,Tom Scudamore,M C Pipe
2002,Wed/13/Mar,02:00:00,Royal & SunAlliance Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",Cheltenham,BD,21,Tarxien,1.04,Rodi Greene,M C Pipe
2002,Wed/13/Mar,02:00:00,Royal & SunAlliance Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",Cheltenham,BD,3,Ballyhampshire Boy (IRE),1.08,Barry Geraghty,Sean Aherne
2002,Wed/13/Mar,02:00:00,Royal & SunAlliance Novices' Hurdle Class A Grade 1,"Novice Hurdle - Grade 1 (Ballymore, 2m5f)",Cheltenham,F,13,Keen Leader (IRE),1.13,L Cooper,Jonjo O'Neill
2002,Wed/13/Mar,02:35:00,Queen Mother Champion Chase Class A Grade 1,Championship Chase - Grade 1 (Queen Mother),Cheltenham,1,5,Flagship Uberalles (IRE),2.75,Richard Johnson,Philip Hobbs
2002,Wed/13/Mar,02:35:00,Queen Mother Champion Chase Class A Grade 1,Championship Chase - Grade 1 (Queen Mother),Cheltenham,2,8,Native Upmanship (IRE),1.11,Conor O'Dwyer,A L T Moore
2002,Wed/13/Mar,02:35:00,Queen Mother Champion Chase Class A Grade 1,Championship Chase - Grade 1 (Queen Mother),Cheltenham,3,1,Cenkos (FR),67,Timmy Murphy,Paul Nicholls
2002,Wed/13/Mar,02:35:00,Queen Mother Champion Chase Class A Grade 1,Championship Chase - Grade 1 (Queen Mother),Cheltenham,4,3,Edredon Bleu (FR),1.2,A P McCoy,Henrietta C Knight
2002,Wed/13/Mar,02:35:00,Queen Mother Champion Chase Class A Grade 1,Championship Chase - Grade 1 (Queen Mother),Cheltenham,6,6,Knife Edge (USA),1.1,Paul Carberry,M J P O'Brien
2002,Wed/13/Mar,02:35:00,Queen Mother Champion Chase Class A Grade 1,Championship Chase - Grade 1 (Queen Mother),Cheltenham,7,11,Turgeonev (FR),1.04,Russ Garritty,Tim Easterby
2002,Wed/13/Mar,02:35:00,Queen Mother Champion Chase Class A Grade 1,Championship Chase - Grade 1 (Queen Mother),Cheltenham,8,4,Fadalko (FR),1.07,R Walsh,Paul Nicholls
2002,Wed/13/Mar,02:35:00,Queen Mother Champion Chase Class A Grade 1,Championship Chase - Grade 1 (Queen Mother),Cheltenham,9,12,Wahiba Sands,1.05,Tony Dobbin,M C Pipe
2002,Wed/13/Mar,02:35:00,Queen Mother Champion Chase Class A Grade 1,Championship Chase - Grade 1 (Queen Mother),Cheltenham,10,2,Desert Mountain I (IRE),51,Joe Tizzard,Paul Nicholls
2002,Wed/13/Mar,02:35:00,Queen Mother Champion Chase Class A Grade 1,Championship Chase - Grade 1 (Queen Mother),Cheltenham,11,9,Nordance Prince (IRE),67,Norman Williamson,Venetia Williams
2002,Wed/13/Mar,02:35:00,Queen Mother Champion Chase Class A Grade 1,Championship Chase - Grade 1 (Queen Mother),Cheltenham,F,7,Latalomne (USA),1.07,V T Keane,Brian Ellison
