Year,Date,Time,Race Name,Course,Position,Draw,Horse Name,SP,Jockey,Trainer
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,1,2,Baracouda (FR),13/8F,T Doumen F Doumen,T Doumen F Doumen
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,3,9,It Takes Time I (IRE),12/1,A P McCoy M C Pipe,A P McCoy M C Pipe
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,4,16,Telemoss (IRE),20/1,Brian Harding Nicky Richards,Brian Harding Nicky Richards
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,5,4,Bounce Back (USA),40/1,Barry Geraghty M C Pipe,Barry Geraghty M C Pipe
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,6,14,Spendid (IRE),20/1,Warren Marston Alan King,Warren Marston Alan King
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,7,10,Jair Du Cochet (FR),9/1,Jacques Ricou G Macaire,Jacques Ricou G Macaire
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,8,7,Deano's Beeno,33/1,Rodi Greene M C Pipe,Rodi Greene M C Pipe
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,10,11,Montalcino I (IRE),33/1,Norman Williamson Venetia Williams,Norman Williamson Venetia Williams
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,12,12,Pelagos (FR),200/1,Blythe Miller F Bruce Miller,Blythe Miller F Bruce Miller
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,13,8,Effectual I,100/1,B J Crowley Venetia Williams,B J Crowley Venetia Williams
2002,Thu/14/Mar,02:35,Bonusprint Stayers' Hurdle Class A Grade 1,Cheltenham,F,13,Sir Talbot,33/1,Timmy Murphy Jim Old,Timmy Murphy Jim Old
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,1,17,Scolardy (IRE),16/1,Charlie Swan W P Mullins,Charlie Swan W P Mullins
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,2,27,Newhall (IRE),8/1,F J Flood F Flood,F J Flood F Flood
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,3,5,Diamond Joshua (IRE),66/1,Jim Culloty John Berry,Jim Culloty John Berry
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,4,1,Balapour (IRE),100/1,J P Elliott Patrick O Brady,J P Elliott Patrick O Brady
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,5,9,Hyderabad,33/1,D J Casey M F Morris,D J Casey M F Morris
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,6,20,Turtleback (IRE),16/1,Norman Williamson E J O'Grady,Norman Williamson E J O'Grady
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,7,24,Wesley Snype (FR),50/1,L Metais F Doumen,L Metais F Doumen
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,8,18,Sud Bleu (FR),16/1,Timmy Murphy Paul Nicholls,Timmy Murphy Paul Nicholls
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,9,14,Quazar (IRE),16/1,Conor O'Dwyer Jonjo O'Neill,Conor O'Dwyer Jonjo O'Neill
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,10,23,Vol Solitaire (FR),16/1,Joe Tizzard Paul Nicholls,Joe Tizzard Paul Nicholls
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,11,16,Riyadh,66/1,Barry Geraghty M C Pipe,Barry Geraghty M C Pipe
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,12,7,Hawkes Run,50/1,Noel Fehily Charlie Mann,Noel Fehily Charlie Mann
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,13,26,Live The Dream,33/1,Tom Scudamore M C Pipe,Tom Scudamore M C Pipe
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,14,21,Valeureux,50/1,Graham Lee J Hetherton,Graham Lee J Hetherton
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,15,2,Burning Impulse,25/1,Tom Doyle Paul Webber,Tom Doyle Paul Webber
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,16,25,Eluna,11/1,David Dennis Ian Williams,David Dennis Ian Williams
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,17,19,Tender Cove (IRE),14/1,J R Barry P Mullins,J R Barry P Mullins
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,18,4,Cashel Bay (USA),66/1,Martin Mooney Luke Comer,Martin Mooney Luke Comer
2002,Thu/14/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,19,8,Heezapistol (FR),14/1,R Walsh W P Mullins,R Walsh W P Mullins
2002,Thu/14/Mar,04:30,130th Year of Cheltenham Grand Annual Chase Challenge Cup Handicap Class A (Listed Race),Cheltenham,1,9,Fadoudal Du Cochet (FR),6/1,D J Casey A L T Moore,D J Casey A L T Moore
2002,Thu/14/Mar,04:30,130th Year of Cheltenham Grand Annual Chase Challenge Cup Handicap Class A (Listed Race),Cheltenham,2,2,Exit Swinger (FR),4/1F,A P McCoy M C Pipe,A P McCoy M C Pipe
2002,Thu/14/Mar,04:30,130th Year of Cheltenham Grand Annual Chase Challenge Cup Handicap Class A (Listed Race),Cheltenham,3,13,Dark'n Sharp (GER),13/2,Richard Johnson Richard Phillips,Richard Johnson Richard Phillips
2002,Thu/14/Mar,04:30,130th Year of Cheltenham Grand Annual Chase Challenge Cup Handicap Class A (Listed Race),Cheltenham,4,8,Logician (NZ),20/1,Barry Keniry I A Balding,Barry Keniry I A Balding
2002,Thu/14/Mar,04:30,130th Year of Cheltenham Grand Annual Chase Challenge Cup Handicap Class A (Listed Race),Cheltenham,7,3,Red Ark,16/1,Richard Guest N B Mason,Richard Guest N B Mason
2002,Thu/14/Mar,04:30,130th Year of Cheltenham Grand Annual Chase Challenge Cup Handicap Class A (Listed Race),Cheltenham,8,15,Batswing,10/1,Norman Williamson Brian Ellison,Norman Williamson Brian Ellison
2002,Thu/14/Mar,04:30,130th Year of Cheltenham Grand Annual Chase Challenge Cup Handicap Class A (Listed Race),Cheltenham,9,5,Eskleybrook,8/1,Carl Llewellyn Nigel Twiston-Davies,Carl Llewellyn Nigel Twiston-Davies
2002,Thu/14/Mar,04:30,130th Year of Cheltenham Grand Annual Chase Challenge Cup Handicap Class A (Listed Race),Cheltenham,10,16,Chicuelo (FR),40/1,David Dennis Ian Williams,David Dennis Ian Williams
2002,Thu/14/Mar,04:30,130th Year of Cheltenham Grand Annual Chase Challenge Cup Handicap Class A (Listed Race),Cheltenham,11,14,Barnburgh Boy,40/1,B J Crowley Venetia Williams,B J Crowley Venetia Williams
2002,Thu/14/Mar,04:30,130th Year of Cheltenham Grand Annual Chase Challenge Cup Handicap Class A (Listed Race),Cheltenham,F,19,Time Of Flight (IRE),33/1,Paddy Aspell 7 Mrs M Reveley,Paddy Aspell 7 Mrs M Reveley
2002,Thu/14/Mar,04:30,130th Year of Cheltenham Grand Annual Chase Challenge Cup Handicap Class A (Listed Race),Cheltenham,F,22,Taking (FR),150/1,Josh Byrne 3 Christopher Kellett,Josh Byrne 3 Christopher Kellett
2002,Thu/14/Mar,05:40,Vincent O'Brien County Handicap Hurdle Class A Grade 3,Cheltenham,1,2,Rooster Booster,8/1,Richard Johnson Philip Hobbs,Richard Johnson Philip Hobbs
2002,Thu/14/Mar,05:40,Vincent O'Brien County Handicap Hurdle Class A Grade 3,Cheltenham,2,6,The Gatherer (IRE),12/1,Conor O'Dwyer A L T Moore,Conor O'Dwyer A L T Moore
2002,Thu/14/Mar,05:40,Vincent O'Brien County Handicap Hurdle Class A Grade 3,Cheltenham,3,7,Ben Ewar,50/1,Barry Fenton Ken Cunningham-Brown,Barry Fenton Ken Cunningham-Brown
2002,Thu/14/Mar,05:40,Vincent O'Brien County Handicap Hurdle Class A Grade 3,Cheltenham,4,11,Benbyas,12/1,Timmy Murphy Les Eyre,Timmy Murphy Les Eyre
2002,Thu/14/Mar,05:40,Vincent O'Brien County Handicap Hurdle Class A Grade 3,Cheltenham,5,5,Timber King (IRE),4/1,Charlie Swan C Roche,Charlie Swan C Roche
2002,Thu/14/Mar,05:40,Vincent O'Brien County Handicap Hurdle Class A Grade 3,Cheltenham,6,19,Patsy Veale (IRE),100/1,D J Casey John Queally,D J Casey John Queally
2002,Thu/14/Mar,05:40,Vincent O'Brien County Handicap Hurdle Class A Grade 3,Cheltenham,8,13,Joe Cullen (IRE),10/1,J J Mansell 5 W P Mullins,J J Mansell 5 W P Mullins
2002,Thu/14/Mar,05:40,Vincent O'Brien County Handicap Hurdle Class A Grade 3,Cheltenham,10,17,Idaho D'Ox (FR),25/1,Joffret Huet 5 M C Pipe,Joffret Huet 5 M C Pipe
2002,Thu/14/Mar,05:40,Vincent O'Brien County Handicap Hurdle Class A Grade 3,Cheltenham,12,8,Dark Shell (IRE),9/1,Mick Fitzgerald Nicky Henderson,Mick Fitzgerald Nicky Henderson
2002,Thu/14/Mar,05:40,Vincent O'Brien County Handicap Hurdle Class A Grade 3,Cheltenham,13,3,Polar Red,2/1F,A P McCoy M C Pipe,A P McCoy M C Pipe
2002,Thu/14/Mar,05:40,Vincent O'Brien County Handicap Hurdle Class A Grade 3,Cheltenham,14,12,Just In TimeI,20/1,Norman Williamson Philip Hobbs,Norman Williamson Philip Hobbs
2002,Thu/14/Mar,05:40,Vincent O'Brien County Handicap Hurdle Class A Grade 3,Cheltenham,15,1,Copeland,10/1,Rodi Greene M C Pipe,Rodi Greene M C Pipe
2002,Thu/14/Mar,05:40,Vincent O'Brien County Handicap Hurdle Class A Grade 3,Cheltenham,16,4,Auetaler (GER),33/1,Tom Scudamore M C Pipe,Tom Scudamore M C Pipe
2002,Thu/14/Mar,05:40,Vincent O'Brien County Handicap Hurdle Class A Grade 3,Cheltenham,17,9,Fiori,16/1,Tom Doyle 3 P C Haslam,Tom Doyle 3 P C Haslam
2002,Thu/14/Mar,05:40,Vincent O'Brien County Handicap Hurdle Class A Grade 3,Cheltenham,18,10,Tikram,20/1,D Gallagher Gary Moore,D Gallagher Gary Moore
2002,Thu/14/Mar,05:40,Vincent O'Brien County Handicap Hurdle Class A Grade 3,Cheltenham,19,22,Fifth Generation (IRE),100/1,Dr P Pritchard 5 Dr P Pritchard,Dr P Pritchard 5 Dr P Pritchard
2002,Thu/14/Mar,05:40,Vincent O'Brien County Handicap Hurdle Class A Grade 3,Cheltenham,20,18,Ansari (IRE),50/1,J P Elliott 5 Patrick O Brady,J P Elliott 5 Patrick O Brady
2002,Thu/14/Mar,05:05,Cathcart Challenge Cup Chase Class A Grade 2,Cheltenham,1,12,Royal Auclair (FR),2/1F,A P McCoy M C Pipe,A P McCoy M C Pipe
2002,Thu/14/Mar,05:05,Cathcart Challenge Cup Chase Class A Grade 2,Cheltenham,2,3,Cregg House (IRE),33/1,R Walsh P Mullins,R Walsh P Mullins
2002,Thu/14/Mar,05:05,Cathcart Challenge Cup Chase Class A Grade 2,Cheltenham,3,4,Davids Lad I (IRE),5/1,Timmy Murphy A J Martin,Timmy Murphy A J Martin
2002,Thu/14/Mar,05:05,Cathcart Challenge Cup Chase Class A Grade 2,Cheltenham,4,5,Golden Goal (GER),7/1,Norman Williamson Venetia Williams,Norman Williamson Venetia Williams
2002,Thu/14/Mar,05:05,Cathcart Challenge Cup Chase Class A Grade 2,Cheltenham,5,9,Mr Percy I (IRE),12/1,Mick Fitzgerald J T Gifford,Mick Fitzgerald J T Gifford
2003,Tue/11/Mar,05:20,Pertemps Final (Handicap Hurdle) Class A (Listed Race),Cheltenham,1,10,Inching Closer I,6/1F,Barry Geraghty Jonjo O'Neill,Barry Geraghty Jonjo O'Neill
2003,Tue/11/Mar,05:20,Pertemps Final (Handicap Hurdle) Class A (Listed Race),Cheltenham,3,23,Tribal Venture (FR),33/1,Davy Russell Ferdy Murphy,Davy Russell Ferdy Murphy
2003,Tue/11/Mar,05:20,Pertemps Final (Handicap Hurdle) Class A (Listed Race),Cheltenham,4,8,Ravenswood (IRE),7/1,Tom Scudamore M C Pipe,Tom Scudamore M C Pipe
2003,Tue/11/Mar,05:20,Pertemps Final (Handicap Hurdle) Class A (Listed Race),Cheltenham,5,18,Guard Duty I,33/1,Gerry Supple M C Pipe,Gerry Supple M C Pipe
2003,Tue/11/Mar,05:20,Pertemps Final (Handicap Hurdle) Class A (Listed Race),Cheltenham,6,16,Creon,14/1,Charlie Swan Jonjo O'Neill,Charlie Swan Jonjo O'Neill
2003,Tue/11/Mar,05:20,Pertemps Final (Handicap Hurdle) Class A (Listed Race),Cheltenham,7,19,Dubai Seven Stars,25/1,Paul Carberry M C Pipe,Paul Carberry M C Pipe
2003,Tue/11/Mar,05:20,Pertemps Final (Handicap Hurdle) Class A (Listed Race),Cheltenham,8,6,Carlovent (FR),33/1,Norman Williamson M C Pipe,Norman Williamson M C Pipe
2003,Tue/11/Mar,05:20,Pertemps Final (Handicap Hurdle) Class A (Listed Race),Cheltenham,9,7,Rostropovich I (IRE),14/1,D J Casey M F Morris,D J Casey M F Morris
2003,Tue/11/Mar,05:20,Pertemps Final (Handicap Hurdle) Class A (Listed Race),Cheltenham,10,9,Ballysicyos (FR),33/1,Timmy Murphy M C Pipe,Timmy Murphy M C Pipe
2003,Tue/11/Mar,05:20,Pertemps Final (Handicap Hurdle) Class A (Listed Race),Cheltenham,13,15,Surprising I,33/1,Mick Fitzgerald Philip Hobbs,Mick Fitzgerald Philip Hobbs
2003,Tue/11/Mar,05:20,Pertemps Final (Handicap Hurdle) Class A (Listed Race),Cheltenham,15,24,The Culdee (IRE),33/1,F J Flood F Flood,F J Flood F Flood
2003,Tue/11/Mar,05:20,Pertemps Final (Handicap Hurdle) Class A (Listed Race),Cheltenham,16,5,Springfield Scally,25/1,Seamus Durack Steve Gollings,Seamus Durack Steve Gollings
2003,Tue/11/Mar,05:20,Pertemps Final (Handicap Hurdle) Class A (Listed Race),Cheltenham,17,14,Farinel,7/1,Conor O'Dwyer A L T Moore,Conor O'Dwyer A L T Moore
2003,Tue/11/Mar,05:20,Pertemps Final (Handicap Hurdle) Class A (Listed Race),Cheltenham,18,20,No Discount (IRE),20/1,R Walsh T M Walsh,R Walsh T M Walsh
2003,Tue/11/Mar,05:20,Pertemps Final (Handicap Hurdle) Class A (Listed Race),Cheltenham,19,1,Tucacas (FR),40/1,Mr G Elliott 3 M C Pipe,Mr G Elliott 3 M C Pipe
2003,Tue/11/Mar,05:20,Pertemps Final (Handicap Hurdle) Class A (Listed Race),Cheltenham,20,13,Miss Fara (FR),33/1,Jamie Moore 7 M C Pipe,Jamie Moore 7 M C Pipe
2003,Tue/11/Mar,05:20,Pertemps Final (Handicap Hurdle) Class A (Listed Race),Cheltenham,21,11,Mirjan (IRE),16/1,Tony Dobbin L Lungo,Tony Dobbin L Lungo
2003,Tue/11/Mar,05:20,Pertemps Final (Handicap Hurdle) Class A (Listed Race),Cheltenham,22,4,Chopneyev (FR),13/2,Richard Johnson Richard Phillips,Richard Johnson Richard Phillips
2003,Tue/11/Mar,05:20,Pertemps Final (Handicap Hurdle) Class A (Listed Race),Cheltenham,F,21,Rum Pointer (IRE),33/1,Robert Thornton Bob Buckler,Robert Thornton Bob Buckler
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,1,23,Spectroscope (IRE),20/1,Barry Geraghty Jonjo O'Neill,Barry Geraghty Jonjo O'Neill
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,3,7,Golden Cross (IRE),11/2F,Charlie Swan M Halford,Charlie Swan M Halford
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,4,13,Lilium De Cotte (FR),25/1,Benoit Gicquel G Macaire,Benoit Gicquel G Macaire
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,5,16,Mughas (IRE),20/1,Robert Thornton Alan King,Robert Thornton Alan King
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,6,12,Le Duc I (FR),40/1,R Walsh Paul Nicholls,R Walsh Paul Nicholls
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,10,2,Dashing Home (IRE),25/1,Paul Carberry Noel Meade,Paul Carberry Noel Meade
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,11,11,King Solomon I (FR),50/1,Paul W Flynn Venetia Williams,Paul W Flynn Venetia Williams
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,12,6,Fortune Island (IRE),33/1,Tony Dobbin M C Pipe,Tony Dobbin M C Pipe
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,13,24,Starzaan (IRE),16/1,Mark Bradburne Hughie Morrison,Mark Bradburne Hughie Morrison
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,14,14,Little Rort (IRE),66/1,J E Casey M J Grassick,J E Casey M J Grassick
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,15,22,Saintsaire (FR),14/1,Mick Fitzgerald Nicky Henderson,Mick Fitzgerald Nicky Henderson
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,16,20,Overstrand (IRE),66/1,Alan Dempsey Mrs M Reveley,Alan Dempsey Mrs M Reveley
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,17,8,Its Wallace Jnr,100/1,Jamie Goldstein Sheena West,Jamie Goldstein Sheena West
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,18,26,Turbo I (IRE),66/1,Graham Lee Venetia Williams,Graham Lee Venetia Williams
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,19,5,Duke Of Earl (IRE),50/1,Seamus Durack Sylvester Kirk,Seamus Durack Sylvester Kirk
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,20,25,Tanikos (FR),50/1,J R Kavanagh Nicky Henderson,J R Kavanagh Nicky Henderson
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,21,9,Ken's Dream,66/1,Sean Fox Ms A E Embiricos,Sean Fox Ms A E Embiricos
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,22,1,Andy Gin (FR),20/1,Richard Johnson Philip Hobbs,Richard Johnson Philip Hobbs
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,BD,4,Don Fernando,12/1,Tom Scudamore M C Pipe,Tom Scudamore M C Pipe
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,BD,15,Moneytrain (GER),14/1,Norman Williamson C Von Der Recke,Norman Williamson C Von Der Recke
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,F,19,Old California (IRE),16/1,Rodi Greene M C Pipe,Rodi Greene M C Pipe
2003,Thu/13/Mar,02:00,JCB Triumph Hurdle Class A Grade 1,Cheltenham,F,28,Nas Na Riogh I (IRE),16/1,Marcus Foley Nicky Henderson,Marcus Foley Nicky Henderson
2003,Thu/13/Mar,05:45,Vincent O'Brien County Hurdle (Handicap) Class A Grade 3,Cheltenham,1,3,Spirit Leader (IRE),10/1,Barry Geraghty Mrs John Harrington,Barry Geraghty Mrs John Harrington
2003,Thu/13/Mar,05:45,Vincent O'Brien County Hurdle (Handicap) Class A Grade 3,Cheltenham,4,4,Non So (FR),10/1,Mick Fitzgerald Nicky Henderson,Mick Fitzgerald Nicky Henderson
2003,Thu/13/Mar,05:45,Vincent O'Brien County Hurdle (Handicap) Class A Grade 3,Cheltenham,6,25,Direct Bearing (IRE),7/1,Paul Carberry D K Weld,Paul Carberry D K Weld
2003,Thu/13/Mar,05:45,Vincent O'Brien County Hurdle (Handicap) Class A Grade 3,Cheltenham,8,1,Polar Red,25/1,Russ Garritty M C Pipe,Russ Garritty M C Pipe
2003,Thu/13/Mar,05:45,Vincent O'Brien County Hurdle (Handicap) Class A Grade 3,Cheltenham,9,18,Idaho D'Ox (FR),66/1,Tom Scudamore M C Pipe,Tom Scudamore M C Pipe
2003,Thu/13/Mar,05:45,Vincent O'Brien County Hurdle (Handicap) Class A Grade 3,Cheltenham,11,8,Full Irish I (IRE),25/1,Mark Bradburne L Lungo,Mark Bradburne L Lungo
2003,Thu/13/Mar,05:45,Vincent O'Brien County Hurdle (Handicap) Class A Grade 3,Cheltenham,12,10,Monkerhostin (FR),10/1,Timmy Murphy Oliver Sherwood,Timmy Murphy Oliver Sherwood
2003,Thu/13/Mar,05:45,Vincent O'Brien County Hurdle (Handicap) Class A Grade 3,Cheltenham,13,26,Miss Cool,33/1,Jamie Moore 7 M C Pipe,Jamie Moore 7 M C Pipe
2003,Thu/13/Mar,05:45,Vincent O'Brien County Hurdle (Handicap) Class A Grade 3,Cheltenham,14,20,Warjan (FR),33/1,Warren Marston Richard Phillips,Warren Marston Richard Phillips
2003,Thu/13/Mar,05:45,Vincent O'Brien County Hurdle (Handicap) Class A Grade 3,Cheltenham,15,29,Joe Cullen (IRE),33/1,Wayne Hutchinson 3 Ian Williams,Wayne Hutchinson 3 Ian Williams
2003,Thu/13/Mar,05:45,Vincent O'Brien County Hurdle (Handicap) Class A Grade 3,Cheltenham,16,9,Image De Marque II (FR),33/1,D J Casey M C Pipe,D J Casey M C Pipe
2003,Thu/13/Mar,05:45,Vincent O'Brien County Hurdle (Handicap) Class A Grade 3,Cheltenham,17,5,The Gatherer (IRE),20/1,Conor O'Dwyer A L T Moore,Conor O'Dwyer A L T Moore
2003,Thu/13/Mar,05:45,Vincent O'Brien County Hurdle (Handicap) Class A Grade 3,Cheltenham,18,23,Belle D'Anjou (FR),50/1,Seamus Durack Philip Hobbs,Seamus Durack Philip Hobbs
2003,Thu/13/Mar,05:45,Vincent O'Brien County Hurdle (Handicap) Class A Grade 3,Cheltenham,19,22,Castleshane (IRE),25/1,Robert Thornton Steve Gollings,Robert Thornton Steve Gollings
2003,Thu/13/Mar,05:45,Vincent O'Brien County Hurdle (Handicap) Class A Grade 3,Cheltenham,20,12,Phardante Flyer (IRE),16/1,Paul W Flynn Philip Hobbs,Paul W Flynn Philip Hobbs
2003,Thu/13/Mar,05:45,Vincent O'Brien County Hurdle (Handicap) Class A Grade 3,Cheltenham,BD,21,Hawadeth,25/1,Jim Culloty Victor Dartnall,Jim Culloty Victor Dartnall
2003,Thu/13/Mar,05:45,Vincent O'Brien County Hurdle (Handicap) Class A Grade 3,Cheltenham,BD,28,Maragun (GER),50/1,Gerry Supple M C Pipe,Gerry Supple M C Pipe
2003,Thu/13/Mar,05:45,Vincent O'Brien County Hurdle (Handicap) Class A Grade 3,Cheltenham,F,19,Mixsterthetrixster (USA),40/1,Mr Geoff Barfoot-Saunt 5 Tracey Barfoot-Saunt,Mr Geoff Barfoot-Saunt 5 Tracey Barfoot-Saunt
2003,Thu/13/Mar,05:45,Vincent O'Brien County Hurdle (Handicap) Class A Grade 3,Cheltenham,F,6,Comex Flyer (IRE),25/1,R Walsh Paul Nicholls,R Walsh Paul Nicholls
2004,Tue/16/Mar,02:40,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,Cheltenham,1,16,Well Chief (GER),9/1,A P McCoy M C Pipe,A P McCoy M C Pipe
2004,Tue/16/Mar,02:40,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,Cheltenham,2,7,Kicking King (IRE),7/2,Barry Geraghty T J Taaffe,Barry Geraghty T J Taaffe
2004,Tue/16/Mar,02:40,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,Cheltenham,3,14,Le Duc I (FR),25/1,Joe Tizzard Paul Nicholls,Joe Tizzard Paul Nicholls
2004,Tue/16/Mar,02:40,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,Cheltenham,4,4,Jahash,150/1,Robert Thornton Alan King,Robert Thornton Alan King
2004,Tue/16/Mar,02:40,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,Cheltenham,5,3,Colca Canyon (IRE),16/1,Robbie Power Mrs John Harrington,Robbie Power Mrs John Harrington
2004,Tue/16/Mar,02:40,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,Cheltenham,6,5,John James (IRE),100/1,Ken Whelan J H Scott,Ken Whelan J H Scott
2004,Tue/16/Mar,02:40,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,Cheltenham,7,6,Keltic Bard,25/1,Noel Fehily Charlie Mann,Noel Fehily Charlie Mann
2004,Tue/16/Mar,02:40,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,Cheltenham,8,1,Caracciola (GER),15/2,Mick Fitzgerald Nicky Henderson,Mick Fitzgerald Nicky Henderson
2004,Tue/16/Mar,02:40,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,Cheltenham,F,13,Tidour (FR),33/1,Tom Doyle Paul Webber,Tom Doyle Paul Webber
2004,Tue/16/Mar,02:40,Irish Independent Arkle Challenge Trophy Chase Class A Grade 1,Cheltenham,F,12,Thisthatandtother (IRE),5/2F,R Walsh Paul Nicholls,R Walsh Paul Nicholls
2004,Wed/17/Mar,03:20,Queen Mother Champion Chase Class A Grade 1,Cheltenham,1,1,Azertyuiop (FR),15/8,R Walsh Paul Nicholls,R Walsh Paul Nicholls
2004,Wed/17/Mar,03:20,Queen Mother Champion Chase Class A Grade 1,Cheltenham,2,5,Flagship Uberalles (IRE),14/1,Richard Johnson Philip Hobbs,Richard Johnson Philip Hobbs
2004,Wed/17/Mar,03:20,Queen Mother Champion Chase Class A Grade 1,Cheltenham,3,7,Tiutchev,16/1,A P McCoy M C Pipe,A P McCoy M C Pipe
2004,Wed/17/Mar,03:20,Queen Mother Champion Chase Class A Grade 1,Cheltenham,4,2,Cenkos (FR),16/1,Mick Fitzgerald Paul Nicholls,Mick Fitzgerald Paul Nicholls
2004,Wed/17/Mar,03:20,Queen Mother Champion Chase Class A Grade 1,Cheltenham,5,8,Venn Ottery,33/1,Timmy Murphy Paul Nicholls,Timmy Murphy Paul Nicholls
2004,Wed/17/Mar,03:20,Queen Mother Champion Chase Class A Grade 1,Cheltenham,6,3,Ei Ei,100/1,Lee Vickers Michael Chapman,Lee Vickers Michael Chapman
2004,Wed/17/Mar,03:20,Queen Mother Champion Chase Class A Grade 1,Cheltenham,7,4,Eskleybrook,200/1,Mark Bradburne V Y Gethin,Mark Bradburne V Y Gethin
2004,Thu/18/Mar,03:15,totesport Cheltenham Gold Cup Chase Class A Grade 1,Cheltenham,1,3,Best Mate (IRE),8/11F,Jim Culloty Henrietta C Knight,Jim Culloty Henrietta C Knight
