No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
14,"8-4112
D","Western Knight (25)
J: Brendan Powell
T: J Tizzard","7-y-o
10st 10lb",158Spotlight,"28/1
33/1
40/1",33/1,SP
20,8-512U,"Ben Solo (74)
J: B S Hughes
T: Miss R Curtis","7-y-o
10st 7lb",155Spotlight,"33/1
28/1",33/1,SP
1,"111224
D","Gold Dancer (31)
J: Anna Mcguinness
T: W P Mullins","7-y-o
11st 12lb",156Spotlight,"50/1
33/1
40/1",33/1,SP
17,"U47F06
D","Where's My Jet (38)
J: Sean O'keeffe
T: W P Mullins","7-y-o
10st 8lb",153Spotlight,"40/1
50/1
66/1",50/1,SP
9,"2P-126
D","Moon Rocket (52)
J: Thomas Bellamy
T: K Bailey & M Nicholls","6-y-o
11st",155Spotlight,"50/1
66/1
80/1",50/1,SP
12,"8-15U5
C,D","Intense Approach (11)
J: Alex Harvey
T: J C Mcconnell","7-y-o
10st 11lb",150Spotlight,"40/1
50/1
40/1",50/1,SP
19,29-833,"Dr Eggman (34)
J: John Shinnick
T: W P Mullins","8-y-o
10st 7lb",146Spotlight,"40/1
50/1
40/1",50/1,SP
Non-runners,,,,,,,
15,"2-31F3
D","Old Cowboy - N/R (18)
J: Non Runner
T: G & J Moore","6-y-o
10st 9lb",154Spotlight,50/1,66/1,SP
,,,,,,,
No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
7,"112-11
CD","Wodhooh (72)
J: Jack Kennedy
T: G Elliott","6-y-o
11st 6lb",162Spotlight,"8/11
4/5
5/6",4/5,SP
3,"2-1321
D","Jade De Grugy (52)
J: Paul Townend
T: W P Mullins","7-y-o
11st 6lb",160Spotlight,"9/4
2/1
15/8",2/1,SP
2,"43-121
D","Feet Of A Dancer (46)
J: Sean O'keeffe
T: P Nolan","7-y-o
11st 6lb",152Spotlight,"10/1
9/1
10/1",9/1,SP
6,"5-6233
D","Take No Chances (54)
J: Harry Skelton
T: D Skelton","8-y-o
11st 6lb",153Spotlight,"10/1
17/2
9/1",10/1,SP
4,"3-3373
D","Jetara (46)
J: Sam Ewing
T: Mrs J Harrington","8-y-o
11st 6lb",156Spotlight,"28/1
25/1
28/1",33/1,SP
1,"P22132
D","Dream On Baby (46)
J: Donagh Meyler
T: E Mullins","6-y-o
11st 6lb",150Spotlight,"33/1
28/1",33/1,SP
5,"F-3143
D","Sunset Marquesa (53)
J: Brendan Powell
T: J Tizzard","7-y-o
11st 6lb",142Spotlight,66/1,80/1,SP
,,,,,,,
No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
9,"222-11
C","Kabral Du Mathan (69)
J: Harry Skelton
T: D Skelton","6-y-o
11st 10lb",159Spotlight,"7/2
3/1
10/3",7/2,SP
11,"22-111
CD","Teahupoo (73)
J: Jack Kennedy
T: G Elliott","9-y-o
11st 10lb",172Spotlight,"7/2
4/1
9/2",4/1,SP
10,"7-1011
CD","Ma Shantou (46)
J: H Cobden
T: Miss E C Lavelle","7-y-o
11st 10lb",159Spotlight,"6/1
11/2
5/1",11/2,SP
1,"15-223
C","Ballyburn (73)
J: Paul Townend
T: W P Mullins","8-y-o
11st 10lb",168Spotlight,"5/1
9/2
5/1",11/2,SP
2,"/221-2
CD","Bob Olinger (73)
J: Darragh O'keeffe
T: H De Bromhead","11-y-o
11st 10lb",168Spotlight,"6/1
13/2
6/1",13/2,SP
7,111-23,"Honesty Policy (81)
J: Mark Walsh
T: G Elliott","6-y-o
11st 10lb",159Spotlight,"15/2
8/1
17/2",9/1,SP
8,"-21112
C,D","Impose Toi (46)
J: N De Boinville
T: N J Henderson","8-y-o
11st 10lb",163Spotlight,"9/1
10/1
9/1",10/1,SP
3,"-23453
CD","Doddiethegreat (46)
J: James Bowen
T: N J Henderson","10-y-o
11st 10lb",152Spotlight,"50/1
40/1
33/1",28/1,SP
5,"8-7145
D","Hewick (103)
J: Paddy Hanlon
T: J J Hanlon","11-y-o
11st 10lb",162Spotlight,"40/1
28/1
40/1",33/1,SP
6,"UP-641
D","Home By The Lee (48)
J: J J Slevin
T: J P O'brien","11-y-o
11st 10lb",166Spotlight,"40/1
33/1
40/1",33/1,SP
4,"196-7P
D","Gwennie May Boy (81)
J: C J Todd
T: Christian Williams","8-y-o
11st 10lb",151Spotlight,"150/1
125/1
100/1",125/1,SP
,,,,,,,
No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
3,"1-4261
CD","Fact To File (37)
J: Mark Walsh
T: W P Mullins","9-y-o
11st 10lb",181,"4/6
4/7
8/13",8/11,SP
1,"17-442
C,D","Banbridge (75)
J: S Bowen
T: J P O'brien","10-y-o
11st 10lb",178,"5/1
11/2
5/1",11/2,SP
6,"2-2211
C,D","Jonbon (25)
J: N De Boinville
T: N J Henderson","10-y-o
11st 10lb",177,"7/1
11/2
6/1",11/2,SP
5,"131-B1
C,D","Impaire Et Passe (25)
J: Paul Townend
T: W P Mullins","8-y-o
11st 10lb",172,"13/2
7/1
6/1",7/1,SP
4,"2P-141
D","Heart Wood (69)
J: Darragh O'keeffe
T: H De Bromhead","8-y-o
11st 10lb",170,"11/1
12/1
14/1",12/1,SP
7,"5-3321
D","Jpr One (39)
J: Brendan Powell
T: J Tizzard","9-y-o
11st 10lb",168,"28/1
33/1
40/1",33/1,SP
9,"-73315
CD","Matata (52)
J: J J Slevin
T: N & W Twiston-Davies","8-y-o
11st 10lb",169,"40/1
50/1
66/1",40/1,SP
2,"7-3330
D","Croke Park (38)
J: Jack Kennedy
T: G Elliott","8-y-o
11st 10lb",152,"66/1
80/1
100/1",80/1,SP
8,-24725,"Master Chewy (32)
J: Sam Twiston-Davies
T: N & W Twiston-Davies","9-y-o
11st 10lb",166,"125/1
150/1
125/1",100/1,SP
,,,,,,,
No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
7,"3-3546
D","Supremely West (75)
J: Harry Skelton
T: D Skelton","8-y-o
10st 11lb",155Spotlight,"10/3
11/4
10/3",7/2,SP
19,"711-11
D","C'est Different (56)
J: Dylan Johnston
T: S Thomas","6-y-o
10st 8lb",154Spotlight,"6/1
15/2
7/1",15/2,SP
21,07PP-3,"Bold Endeavour (48)
J: James Bowen
T: N J Henderson","10-y-o
10st 7lb",149Spotlight,"8/1
9/1
17/2",8/1,SP
3,"107-21
D","Electric Mason (109)
J: Freddie Gordon
T: C Gordon","7-y-o
11st 1lb",153Spotlight,"12/1
11/1
10/1",11/1,SP
4,"2-1421
C","Ace Of Spades (48)
J: Kielan Woods
T: D Skelton","7-y-o
11st 1lb",149Spotlight,"11/1
12/1
11/1",12/1,SP
8,"-11111
D","Absolutely Doyen (39)
J: H Cobden
T: P F Nicholls","6-y-o
10st 11lb",153Spotlight,"14/1
12/1",14/1,SP
6,"12-411
C,D","Kikijo (95)
J: Callum Pritchard
T: P Hobbs & J White","6-y-o
10st 11lb",155Spotlight,"16/1
14/1
12/1",16/1,SP
20,1P4322,"Minella Emperor (25)
J: Mr M J O'neill
T: E Mullins","7-y-o
10st 7lb",152Spotlight,"14/1
16/1
14/1",16/1,SP
18,"0-6211
D","Champagne Chic (25)
J: Lorcan Williams
T: J Scott","6-y-o
10st 8lb",151Spotlight,"14/1
16/1
20/1",18/1,SP
17,2-2120,"Letos (61)
J: Danny Mullins
T: A Mullins","6-y-o
10st 9lb",150Spotlight,"20/1
18/1
16/1",18/1,SP
1,"-31121
D","Staffordshire Knot (31)
J: Jack Kennedy
T: G Elliott","8-y-o
12st 1lb",153Spotlight,"16/1
18/1
20/1",18/1,SP
15,"P-4241
D","Melbourne Shamrock (17)
J: Donagh Meyler
T: E Mullins","7-y-o
10st 9lb",146Spotlight,"14/1
16/1
18/1",20/1,SP
11,"-34143
D","Lavida Adiva (25)
J: B S Hughes
T: Ruth Jefferson","7-y-o
10st 9lb",153Spotlight,"20/1
22/1
20/1",22/1,SP
14,9622P6,"Yeah Man (25)
J: Conor Stone-Walsh
T: G P Cromwell","9-y-o
10st 9lb",145Spotlight,"22/1
25/1
22/1",25/1,SP
10,32-464,"Classic King (75)
J: Ben Jones
T: Miss E C Lavelle","8-y-o
10st 10lb",154Spotlight,"22/1
20/1
22/1",25/1,SP
5,0-9762,"Minella Sixo (17)
J: Sam Ewing
T: G Elliott","7-y-o
10st 13lb",148Spotlight,"25/1
28/1
33/1",28/1,SP
2,"037442
CD","Gowel Road (18)
J: Toby Mccain-Mitchell
T: N & W Twiston-Davies","10-y-o
11st 10lb",153Spotlight,"25/1
28/1
33/1",28/1,SP
22,2-11F2,"Onewaywest (48)
J: Elliott England
T: B Pauling","7-y-o
10st 6lb",151Spotlight,"28/1
25/1
28/1",33/1,SP
9,"11P-P4
D","Red Dirt Road (25)
J: Jonjo O'neill Jr.
T: J & A O'neill","9-y-o
10st 10lb",147Spotlight,40/1,33/1,SP
13,"241017
D","Duke Silver (37)
J: Hugh Horgan
T: J P O'brien","6-y-o
10st 9lb",147Spotlight,"40/1
33/1
28/1",33/1,SP
24,205266,"Ike Sport (44)
J: C O'farrell
T: N P Mulholland","8-y-o
10st 3lb",153Spotlight,"50/1
40/1",50/1,SP
16,1-1410,"Idy Wood (69)
J: G Sheehan
T: Jamie Snowden","8-y-o
10st 9lb",150Spotlight,"50/1
66/1",50/1,SP
12,"52-131
D","Ikarak (68)
J: S Bowen
T: O Murphy","8-y-o
10st 9lb",151Spotlight,"40/1
50/1
40/1",50/1,SP
23,0-2582,"Idem (38)
J: P W Wadge
T: L Russell & M Scudamore","8-y-o
10st 4lb",152Spotlight,"50/1
66/1",50/1,SP
Non-runners,,,,,,,
26,421122,"Turndlightsdownlow - N/R (55)
J: Reserve 2
T: M Keighley","6-y-o
10st 2lb",152Spotlight,"20/1
25/1
20/1",18/1,SP
25,"733329
D","Lihyan - N/R (38)
J: Reserve 1
T: R Menzies","8-y-o
10st 2lb",154Spotlight,"50/1
40/1",50/1,SP
,,,,,,,
No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
1,2-1225,"Jeriko Du Reponet (52)
J: Mr D O'connor
T: N J Henderson","7-y-o
12st 1lb",139Spotlight,"3/1
10/3
7/2",10/3,SP
11,7-4363,"Waterford Whispers (38)
J: Mr Alan O'sullivan
T: H De Bromhead","8-y-o
11st 6lb",146Spotlight,"9/2
4/1
7/2",4/1,SP
19,U42245,"Kim Roque (38)
J: Mr J L Gleeson
T: J P O'brien","6-y-o
11st",146Spotlight,"13/2
7/1
8/1",15/2,SP
8,"7-5241
C","Herakles Westwood (69)
J: Mr F Maguire
T: W Greatrex","9-y-o
11st 6lb",150Spotlight,"8/1
9/1
17/2",9/1,SP
7,2P14F4,"Prends Garde A Toi (24)
J: Mr B O'neill
T: G Elliott","7-y-o
11st 6lb",144Spotlight,"12/1
11/1
12/1",14/1,SP
17,-3533P,"Road To Home (37)
J: Mr P W Mullins
T: W P Mullins","7-y-o
11st",146Spotlight,"11/1
12/1
14/1",16/1,SP
20,/30-82,"Gericault Roque (25)
J: Mr B Lawless
T: D Pipe","10-y-o
10st 12lb",154Spotlight,"25/1
22/1
20/1",18/1,SP
5,8-7760,"Sandor Clegane (74)
J: Mr J W Hendrick
T: P Nolan","9-y-o
11st 7lb",141Spotlight,"18/1
20/1
22/1",18/1,SP
13,"31P-0P
CD","Daily Present (37)
J: Mr B T Stone
T: P Nolan","9-y-o
11st 6lb",151Spotlight,"16/1
14/1
16/1",18/1,SP
10,"44-420
C","Weveallbeencaught (74)
J: Mr J C Barry
T: E Mcnamara","9-y-o
11st 6lb",146Spotlight,"20/1
18/1
20/1",18/1,SP
3,6-3143,"The Enabler (45)
J: Mr R James
T: G Elliott","7-y-o
11st 9lb",148Spotlight,"20/1
18/1
16/1",18/1,SP
9,"1P-041
D","King's Threshold (72)
J: Mr H C Swan
T: Miss E C Lavelle","9-y-o
11st 6lb",151Spotlight,"28/1
33/1
28/1",25/1,SP
22,"511-15
C","Ask Brewster (95)
J: Mr S Cotter
T: Mrs C Williams","7-y-o
10st 11lb",143Spotlight,"18/1
20/1
25/1",28/1,SP
6,"7-2872
C","Il Ridoto (69)
J: Miss O Nicholls
T: P F Nicholls","9-y-o
11st 7lb",151Spotlight,"40/1
50/1
33/1",40/1,SP
15,40-30F,"Excello (69)
J: Mr Henry Main
T: N J Henderson","7-y-o
11st 1lb",152Spotlight,"50/1
40/1
33/1",40/1,SP
2,P6-P57,"Monbeg Genius (25)
J: Mr J L Scallan
T: J & A O'neill","10-y-o
11st 10lb",154Spotlight,"33/1
40/1
33/1",40/1,SP
4,188-38,"Insurrection (39)
J: Miss Gina Andrews
T: P F Nicholls","9-y-o
11st 7lb",151Spotlight,"40/1
50/1
40/1",50/1,SP
12,59-1F7,"Uncle Bert (46)
J: Miss Amber Jackson-Fennell
T: N & W Twiston-Davies","9-y-o
11st 6lb",152Spotlight,"50/1
66/1",50/1,SP
23,"4812P0
C","Hung Jury (25)
J: Mr James King
T: M Keighley","11-y-o
10st 10lb",153Spotlight,"66/1
80/1
50/1",66/1,SP
16,"0341PP
C","Glengouly (11)
J: Mr D Mcgill
T: Faye Bramley","10-y-o
11st",149Spotlight,"50/1
66/1
50/1",66/1,SP
24,"062412
C,D","Lord Accord (109)
J: Mr N Mcparlan
T: N P Mulholland","11-y-o
10st 10lb",150Spotlight,"50/1
66/1
50/1",66/1,SP
14,7P-P6P,"Olympic Man (73)
J: Mr D Doyle
T: J C Mcconnell","9-y-o
11st 6lb",150Spotlight,"66/1
80/1
50/1",66/1,SP
21,-22U04,"No Time To Wait (18)
J: Mr J M Halford
T: J C Mcconnell","8-y-o
10st 12lb",147Spotlight,"80/1
100/1
80/1",100/1,SP
18,4-7208,"Cave Court (25)
J: Mr O Mcgill
T: N C Kelly","9-y-o
11st",147Spotlight,"100/1
66/1
80/1",100/1,SP
Non-runners,,,,,,,
25,U17-22,"J'arrive De L'est - N/R (46)
J: Reserve 1
T: E Mullins","7-y-o
10st 9lb",150Spotlight,"9/1
10/1
8/1",15/2,SP
26,683325,"Hunter Legend - N/R (25)
J: Reserve 2
T: Miss V Williams","9-y-o
10st 9lb",152Spotlight,"40/1
33/1
40/1",50/1,SP
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
